tent_id,global_tent_id,url
,100390764,https://m.media-amazon.com/images/M/MV5BOGMxZmZlMzMtOWYyNy00N2M2LWE5YWItYjY0MzZiZmZkNjFiXkEyXkFqcGc@._V1_.jpg
,100431412,https://m.media-amazon.com/images/M/MV5BZGI0YmRjNWYtYTliYy00YzdjLTkzNzQtZWExNjA2ZDU5MzAwXkEyXkFqcGc@._V1_.jpg
,100456369,https://m.media-amazon.com/images/M/MV5BMTY4YjM1OGItMDlmMi00OTU1LWEzM2MtZGMyZTQ1NzhiM2VhXkEyXkFqcGc@._V1_.jpg
,100488569,https://m.media-amazon.com/images/M/MV5BYTRlYzQwYjItNDljNC00YmI2LWEwYmEtMjhhM2NiMGFhNTYyXkEyXkFqcGc@._V1_.jpg
,100488729,https://m.media-amazon.com/images/M/MV5BOTViMmQ2ZjQtZGZjYy00OThlLTgzYzEtNTQxMTg1YWViZGNkXkEyXkFqcGc@._V1_.jpg
,100488741,https://m.media-amazon.com/images/M/MV5BOGI0NjhmMmEtNDAxZC00MDFjLThlNzUtYTUwMDkzMjMxNGIzXkEyXkFqcGc@._V1_.jpg
,100365006,https://m.media-amazon.com/images/M/MV5BNDU3NTA1MTMtOGNjMy00M2UxLWFmNDMtMjlhYWQ0Y2E5YWM0XkEyXkFqcGc@._V1_.jpg
,100383304,https://m.media-amazon.com/images/M/MV5BM2MwY2EzYWItMWI5ZC00ODRkLTk4NTUtYzE2NTI3YzE2Yzg1XkEyXkFqcGc@._V1_.jpg
,100418927,https://m.media-amazon.com/images/M/MV5BMzFjOTUzOTAtNWE0OC00ZWVhLWJkZmMtMzVlMWVlMWRkNjU2XkEyXkFqcGc@._V1_.jpg
,100485196,https://m.media-amazon.com/images/M/MV5BMTQ1ZGE3MzgtNGUzOS00NWJiLWI5ZWQtMjFhOWU2OWM3NTk5XkEyXkFqcGc@._V1_.jpg
,100487341,https://m.media-amazon.com/images/M/MV5BYTgxN2Q0YTItYWI2OC00ZDlkLTlhOWQtNjkxMDdiYWUzNjg1XkEyXkFqcGc@._V1_.jpg
,100490208,https://m.media-amazon.com/images/M/MV5BNzA0ZWE5MWItYWQyNi00Yjg0LWE0NmUtNTIxODk2ODhhNmM2XkEyXkFqcGc@._V1_.jpg
,100490210,https://m.media-amazon.com/images/M/MV5BMWFiMmNiYjAtNWE0MC00ZWFkLWI1OTQtNGZhNWEwMTA0ZmI5XkEyXkFqcGc@._V1_.jpg
,100490255,https://m.media-amazon.com/images/M/MV5BNmM0MWFkYjYtY2Q2NS00MTRiLWFmYTItN2JhZmVhYmRkOWZkXkEyXkFqcGc@._V1_.jpg
,100490267,https://m.media-amazon.com/images/M/MV5BZTQ1NDc4ZGYtZjM3ZC00MWIwLTg1NDQtZGU4MTgwY2Q0MTk5XkEyXkFqcGc@._V1_.jpg
,100490286,https://m.media-amazon.com/images/M/MV5BMmJmN2NjYzktMDgxMi00MDVkLTg2YjQtYjBkMzA3NzMyMmFjXkEyXkFqcGc@._V1_.jpg
,100490309,https://m.media-amazon.com/images/M/MV5BNTZjMzZkYjMtN2RiZC00MmRhLThlM2ItNWQ0YTRkOGQyYjFhXkEyXkFqcGc@._V1_.jpg
,100490320,https://m.media-amazon.com/images/M/MV5BY2FjMTFhYzctZTY4ZS00NDA0LWE1NWMtNjI5MzgxMmFkOGVhXkEyXkFqcGc@._V1_.jpg
,100490451,https://m.media-amazon.com/images/M/MV5BMWJmNjFiMDQtNjU1MS00MjJjLWFlOWMtYjljYmMxMjA4ZWNkXkEyXkFqcGc@._V1_.jpg
,100490490,https://m.media-amazon.com/images/M/MV5BOGRkZWMwMjEtMjYzNC00ZDA2LThhZGYtYzU4ODA5MGU5ODA5XkEyXkFqcGc@._V1_.jpg
,100490590,https://m.media-amazon.com/images/M/MV5BNmM1M2VjMWUtNmY1Ni00YWE1LTk1MDAtMzZiYWMwYjc4YmQ4XkEyXkFqcGc@._V1_.jpg
,100490646,https://m.media-amazon.com/images/M/MV5BYjc1YzRlMzgtOTRiMC00NWMyLTkyMGItZDE5ODUzNTlhMTExXkEyXkFqcGc@._V1_.jpg
,100490681,https://m.media-amazon.com/images/M/MV5BZWY3MmZlOTQtNjcxZS00ODc1LTgwNzYtMmM1ZTNlNjI3ZGUyXkEyXkFqcGc@._V1_.jpg
,100490759,https://m.media-amazon.com/images/M/MV5BNjBhMjk2NmQtY2JhOC00OTIzLTkzZjItNjA2NWM3OTkzNzA5XkEyXkFqcGc@._V1_.jpg
,100490761,https://m.media-amazon.com/images/M/MV5BYWUyNzEyZWQtNjEyOS00M2RkLThmNmQtMmRlZGNlOThhNDY2XkEyXkFqcGc@._V1_.jpg
